,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
190,the remedy for a broken heart (why am I so in love),XXXTENTACION,739872,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
191,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,739587,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
192,Never Recover (Lil Baby & Gunna^ Drake),Lil Baby,736250,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
193,Blue Christmas,Elvis Presley,732893,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
194,PPP,Kevin Roldan,729680,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
195,Happy Birthday,Sfera Ebbasta,728030,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
196,Killer Queen - Remastered 2011,Queen,727349,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8
197,Project Dreams,Marshmello,726354,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
198,Baby^ It's Cold Outside (feat. Meghan Trainor),Brett Eldredge,725181,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
199,Christmas Lights,Coldplay,721267,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
200,STARGAZING,Travis Scott,714639,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
